Province,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nakhon Si Thammarat,1476060,1488776,1488947,1503156,1511843,1521057,1525557,1524558,1527273,1533894,1531077,1500682,1504420,1510460,1506997,1513163,1516499,1522561,1526071,1534887,1541843,1548028,1552530,1554432,1557482,1560433,1561927,1550721,1549344
Nan,459943,465003,473115,480771,484115,488192,489505,486093,487206,487742,482237,477646,478080,477662,477381,475984,475614,476363,476612,477673,477912,478264,479518,479916,479838,478989,478227,476727,475875
Narathiwat,594513,607082,619311,631958,646871,662234,671649,679135,690001,699951,708248,693999,700525,707171,711517,719930,728071,737162,747372,757397,766145,774799,783082,789681,796239,802474,808020,804429,809660
Nong Bua Lam Phu,454095,472203,477129,481725,486153,491217,494327,494290,496519,498513,500002,494650,496656,496692,497603,499520,500913,502868,502551,505071,507137,508864,510074,510734,511641,512117,512780,509470,509001
Nong Khai,853706,866046,873313,881098,888702,897626,899506,903886,904806,909543,917307,895923,896099,899580,902618,906877,907250,912937,917504,925052,931179,935826,940227,941988,944918,946043,946402,939477,938838
Nonthaburi,717405,740565,754627,783584,800709,826464,839029,859607,884077,905197,924923,942312,972280,999057,1024191,1052592,1078071,1101743,1122627,1141673,1156271,1173870,1193711,1211924,1229735,1246295,1265387,1276745,1288637
Pathum Thani,500086,511448,524251,550920,592324,616636,633994,654701,679417,708909,739412,770153,815402,861338,896843,929250,956376,985643,1010898,1033837,1053158,1074058,1094249,1111376,1129115,1146092,1163604,1176412,1190060
Pattani,553998,563159,572191,582120,590735,599219,608276,612127,618268,627955,634620,629877,634374,635730,637806,642169,647624,655259,663485,671615,678838,686186,694023,700961,709796,718077,725104,726015,729581
Phangnga,219070,221782,224500,227914,229704,231649,233179,235217,237514,239401,240727,239165,241442,245394,246887,249933,251657,253112,254931,257493,259420,261370,264074,265579,267491,268240,268788,268229,268016
Phatthalung,485768,491087,491326,494745,498805,502709,502662,503684,502869,504454,504598,498345,500501,503321,502563,505129,507777,509534,511063,514492,518021,520419,522723,523723,524857,525044,524865,523077,522541
Phayao,510803,513471,517257,517850,517622,517731,515128,511616,509075,508554,501512,488344,486889,486219,486579,487386,487120,486304,486472,488120,486744,484454,482645,479188,477100,475215,472356,467356,464505
